,first_additional_layer,second_additional_layer,third_additional_layer,n_neurons,n_batch_size,dropout_rate,Loss,MSE
16,False,True,False,16,16,0.2,"[0.0016778918216004968, 0.040810126811265945]","[0.00733097642660141, 0.0781344622373581]"
17,True,False,True,32,32,0.2,"[0.0017745631048455834, 0.04191933199763298]","[0.007396775763481855, 0.07913025468587875]"
18,False,True,False,32,16,0.2,"[0.0018370617181062698, 0.04263147711753845]","[0.007575257681310177, 0.08021827787160873]"
19,False,True,True,32,32,0.2,"[0.0017497416120022535, 0.04167628288269043]","[0.007612631190568209, 0.07953991740942001]"
20,True,False,False,16,32,0.2,"[0.001958626788109541, 0.044067393988370895]","[0.008473219349980354, 0.0842151939868927]"
21,True,True,True,32,32,0.2,"[0.0019393510883674026, 0.043898411095142365]","[0.008507631719112396, 0.0837712436914444]"
22,False,True,False,32,8,0.2,"[0.002020872663706541, 0.04476987570524216]","[0.008704099804162979, 0.08502506464719772]"
23,True,False,False,32,8,0.2,"[0.002389034954831004, 0.04857073351740837]","[0.009513880126178265, 0.09050526469945908]"
24,True,True,False,32,32,0.2,"[0.002346527762711048, 0.048212822526693344]","[0.009896707721054554, 0.09095160663127899]"
25,False,False,True,32,8,0.2,"[0.002855179598554969, 0.05306512117385864]","[0.01137057226151228, 0.09900758415460587]"
26,True,True,False,32,8,0.2,"[0.002684295643121004, 0.05160399153828621]","[0.011565283872187138, 0.09773820638656616]"
27,False,False,True,16,8,0.2,"[0.002922047395259142, 0.05371539667248726]","[0.012133101932704449, 0.10147228837013245]"
28,False,False,True,16,16,0.2,"[0.003049526596441865, 0.05488252639770508]","[0.012654636986553669, 0.10349422693252563]"
29,False,True,True,32,16,0.2,"[0.0034981071949005127, 0.05873171240091324]","[0.01422076765447855, 0.11029352247714996]"
30,False,True,False,16,8,0.2,"[0.00352621846832335, 0.058976318687200546]","[0.014447301626205444, 0.11106250435113907]"
31,True,True,False,16,32,0.2,"[0.003480914980173111, 0.0587063804268837]","[0.014854075387120247, 0.11114364117383957]"
32,True,False,False,16,16,0.2,"[0.0037710571195930243, 0.06101382523775101]","[0.015632446855306625, 0.11508868634700775]"
33,False,True,True,32,8,0.2,"[0.00396110350266099, 0.0624779611825943]","[0.016126153990626335, 0.11762063950300217]"
34,True,False,True,16,8,0.2,"[0.00421068724244833, 0.06447942554950714]","[0.017163744196295738, 0.12028679996728897]"
35,True,False,True,16,16,0.2,"[0.004258547443896532, 0.06480573862791061]","[0.01742425002157688, 0.12176293134689331]"
36,True,False,True,32,8,0.2,"[0.004823538474738598, 0.06894150376319885]","[0.01952211745083332, 0.12899209558963776]"
37,True,True,False,32,16,0.2,"[0.005403549410402775, 0.07294764369726181]","[0.021730031818151474, 0.13631144165992737]"
38,False,True,True,16,16,0.2,"[0.005480501800775528, 0.073493592441082]","[0.022265974432229996, 0.13761571049690247]"
39,True,False,False,16,8,0.2,"[0.006365408189594746, 0.07913859188556671]","[0.025492161512374878, 0.14794640243053436]"
40,False,True,True,16,8,0.2,"[0.006485640071332455, 0.07987271994352341]","[0.02592415176331997, 0.14939290285110474]"
41,True,True,True,32,16,0.2,"[0.007085124962031841, 0.08349495381116867]","[0.028217213228344917, 0.1554068922996521]"
42,True,True,False,16,16,0.2,"[0.007128170225769281, 0.08380419760942459]","[0.02849872037768364, 0.15528368949890137]"
43,True,True,True,16,16,0.2,"[0.0071864002384245396, 0.08412192761898041]","[0.028616059571504593, 0.15594348311424255]"
44,True,True,False,16,8,0.2,"[0.007645950186997652, 0.08673826605081558]","[0.03033747337758541, 0.16103899478912354]"
